ADELAIDE HILLS,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",3.61,3.68,4.21,3.73,3.39
#NAME?,0,0.05,0,0.05,0.13
#NAME?,0.23,0.38,0.15,0.15,0.13
#NAME?,2.82,2.74,3.38,3.05,2.56
#NAME?,0.56,0.51,0.68,0.48,0.58
All sexual offences,0.76,0.66,0.48,0.63,0.45
#NAME?,0.25,0.18,0.18,0.2,0.2
#NAME?,0.28,0.28,0.2,0.28,0.08
#NAME?,0.13,0.08,0.08,0.03,0.08
#NAME?,0.1,0.13,0.03,0.13,0.1
All robbery and extortion offences,0.03,0.05,0.08,0.03,0.05
#NAME?,0,0.05,0.08,0,0.05
#NAME?,0.03,0,0,0.03,0
#NAME?,0,0,0,0,0
All offences against property,27.51,29.35,23.44,26.25,20.73
#NAME?,4.71,5.23,4.36,5.47,4.1
#NAME?,1.07,0.68,0.71,0.88,0.43
#NAME?,0.05,0.23,0.2,0.25,0.18
#NAME?,0.69,1.04,1.03,0.58,0.63
#NAME?,10.61,11.26,8.7,9.62,8.02
#NAME?,0.97,1.12,0.5,0.55,0.8
#NAME?,2.06,2.31,1.46,2.87,1.63
#NAME?,0.84,0.79,0.73,0.65,0.58
#NAME?,6.51,6.7,5.73,5.37,4.37
All offences against good order,7.48,6.34,6.94,7.18,7.29
All drug offences,0.51,0.58,1.31,1.26,0.65
#NAME?,0.03,0.05,0.03,0.05,0
#NAME?,0.08,0.23,0.5,0.25,0.2
#NAME?,0.31,0.2,0.43,0.6,0.28
#NAME?,0.05,0.08,0.3,0.35,0.15
#NAME?,0.05,0.03,0.05,0,0.03
All driving offences,14.3,9.16,6.31,7.05,6.28
#NAME?,3.31,3.17,2.55,3.5,3.02
#NAME?,1.42,1.12,0.86,0.83,0.93
#NAME?,2.09,1.29,1.31,1.34,1.16
#NAME?,1.04,0.89,0.53,0.88,0.53
#NAME?,6.13,2.41,0.63,0.23,0.55
#NAME?,0.31,0.28,0.43,0.28,0.1
All other offences,0.25,0.18,0.23,0.25,0.2
Total offences,54.45,49.99,42.99,46.37,39.05
