ADELAIDE,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",95.38,93.45,83.41,84.75,70.87
#NAME?,0.26,0.35,0.29,0.05,0.14
#NAME?,7.55,6.38,4.58,4.54,3.66
#NAME?,79.88,81.25,71.08,72.9,61.19
#NAME?,7.7,5.47,7.45,7.27,5.88
All sexual offences,8.17,8.89,7.94,7.6,8.01
#NAME?,2.5,2.06,1.9,2.01,2.69
#NAME?,2.39,3.92,2.68,2.06,1.81
#NAME?,1.14,0.75,0.68,0.29,0.51
#NAME?,2.13,2.16,2.68,3.25,3.01
All robbery and extortion offences,10.46,11.65,10.72,7.7,6.53
#NAME?,2.81,3.92,3.17,1.72,2.08
#NAME?,7.23,7.28,7.26,5.64,4.21
#NAME?,0.42,0.45,0.29,0.33,0.23
All offences against property,398.35,356.13,292.13,283.75,248.12
#NAME?,23.47,24.05,19.54,19.41,17.65
#NAME?,23.21,21.19,21.63,14.63,12.83
#NAME?,10.56,8.69,6.33,5.26,9.22
#NAME?,18.84,15.42,13.25,11.42,10.14
#NAME?,142.27,135.43,103.48,111.57,95.97
#NAME?,54.95,44.04,44.87,44.31,44.7
#NAME?,45.01,36.26,24.51,25.67,16.35
#NAME?,3.54,2.01,2.24,2.29,1.95
#NAME?,76.49,69.05,56.27,49.19,39.32
All offences against good order,209.5,183.64,183.97,170.46,190.13
All drug offences,13.17,11.95,6.92,9.46,10.7
#NAME?,3.64,2.31,1.95,2.01,1.39
#NAME?,5.57,4.37,1.61,3.39,4.49
#NAME?,0.16,0.35,0.15,0,0.05
#NAME?,0.99,0.55,0.68,0.81,0.6
#NAME?,2.81,4.37,2.53,3.25,4.17
All driving offences,176.61,102.59,75.18,62.81,61.88
#NAME?,37.88,39.72,36.2,28.3,27.1
#NAME?,4.42,3.87,5.02,3.68,4.45
#NAME?,26.38,18.38,16.61,13.53,14.45
#NAME?,13.63,10.85,10.04,9.66,8.52
#NAME?,91.95,27.77,5.99,6.64,6.35
#NAME?,2.34,2.01,1.32,1,1.02
All other offences,4.22,4.47,2.92,2.25,2.69
Total offences,915.86,772.77,663.19,628.78,598.93
