PROSPECT,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",7.43,7.85,6.37,8.02,8.08
#NAME?,0,0,0.05,0,0.05
#NAME?,0.39,0.24,0.19,0.39,0.57
#NAME?,6.02,6.25,4.92,6.28,5.88
#NAME?,1.03,1.36,1.21,1.35,1.58
All sexual offences,0.68,0.82,0.97,0.97,1.05
#NAME?,0.24,0.24,0.19,0.39,0.29
#NAME?,0.2,0.29,0.34,0.19,0.43
#NAME?,0.1,0.05,0.1,0,0.1
#NAME?,0.15,0.24,0.34,0.39,0.24
All robbery and extortion offences,1.17,1.7,0.77,0.77,0.62
#NAME?,0.73,0.82,0.24,0.29,0.33
#NAME?,0.34,0.78,0.53,0.48,0.24
#NAME?,0.1,0.1,0,0,0.05
All offences against property,91.6,90.05,75.76,68.49,75.15
#NAME?,20.05,18.85,14.86,12.71,18.18
#NAME?,2.15,2.28,1.98,1.88,1.87
#NAME?,1.37,1.74,1.06,1.5,1.29
#NAME?,6.11,5.19,4.54,4.3,4.02
#NAME?,31.1,30.63,25.48,22.86,25.4
#NAME?,3.23,4.6,4.34,4.3,5.36
#NAME?,12.57,11.24,10.04,9.18,8.66
#NAME?,1.76,1.31,0.82,0.72,0.72
#NAME?,13.25,14.2,12.64,11.02,9.66
All offences against good order,13.3,14.88,18.87,15.18,14.16
All drug offences,1.52,3.34,1.64,3.58,3.21
#NAME?,0.15,0.15,0.24,0.29,0.62
#NAME?,0.64,1.02,0.43,1.26,0.72
#NAME?,0.44,0.92,0.29,0.63,0.24
#NAME?,0.1,0.58,0.53,0.87,0.81
#NAME?,0.2,0.68,0.14,0.53,0.81
All driving offences,31.1,22.44,14.04,14.74,10.86
#NAME?,4.79,5.86,5.6,5.22,3.78
#NAME?,2.15,1.79,0.97,1.26,1.58
#NAME?,6.5,5.33,4.49,5.36,3.35
#NAME?,1.03,2.04,1.25,0.97,0.72
#NAME?,16.29,6.98,1.54,1.74,1.29
#NAME?,0.34,0.44,0.19,0.19,0.14
All other offences,0.78,1.02,0.72,0.87,0.72
Total offences,147.6,142.1,119.15,112.61,113.85
