SALISBURY,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",13.92,13.81,13.39,13.79,12.11
#NAME?,0.1,0.03,0.05,0.08,0.01
#NAME?,0.92,0.78,0.59,0.61,0.42
#NAME?,11.23,11.04,11.08,10.94,9.84
#NAME?,1.68,1.95,1.68,2.16,1.83
All sexual offences,1.45,1.13,1.25,0.99,1.05
#NAME?,0.4,0.31,0.4,0.28,0.33
#NAME?,0.63,0.4,0.4,0.31,0.39
#NAME?,0.21,0.13,0.16,0.11,0.13
#NAME?,0.22,0.29,0.29,0.3,0.2
All robbery and extortion offences,1.47,1.15,1.4,1.02,1.21
#NAME?,0.85,0.58,0.66,0.57,0.76
#NAME?,0.58,0.54,0.73,0.44,0.42
#NAME?,0.05,0.03,0.02,0.01,0.04
All offences against property,85.77,86.13,78.15,73.56,72.39
#NAME?,13.68,14.87,11.68,11.96,11.1
#NAME?,1.27,1.96,2.34,1.51,1.67
#NAME?,1.26,1.54,1.5,1.22,1.09
#NAME?,6.73,5.67,4.92,4.82,5.01
#NAME?,21.64,25,22.43,24.16,24.17
#NAME?,4.36,4.25,5.02,4.7,5.2
#NAME?,10.23,9.42,10.2,7.67,8.73
#NAME?,2.13,2.42,2.46,1.75,1.82
#NAME?,24.47,21,17.6,15.78,13.6
All offences against good order,24.34,24.78,25.83,23.12,20.07
All drug offences,3.14,5.08,6.61,4.66,4.29
#NAME?,0.26,0.41,0.52,0.54,0.46
#NAME?,1.07,1.33,1.39,1.03,0.86
#NAME?,1.35,1.39,2.03,1.2,1.06
#NAME?,0.28,1.6,2.17,1.52,1.43
#NAME?,0.18,0.34,0.51,0.36,0.48
All driving offences,32.63,24.41,19.49,16.53,13.34
#NAME?,4.25,4.97,4.43,4.51,3.34
#NAME?,1.88,1.75,1.55,1.6,1.75
#NAME?,7.42,7.04,6.82,5.22,4.18
#NAME?,2.38,2.3,2.03,1.9,1.38
#NAME?,15.73,7.48,3.68,2.53,2.03
#NAME?,0.96,0.87,0.98,0.78,0.68
All other offences,0.62,0.57,0.78,0.66,0.61
Total offences,163.33,157.05,146.9,134.33,125.08
