TEA TREE GULLY,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",8.88,7.08,7.91,8.47,6.9
#NAME?,0,0.01,0,0.02,0.01
#NAME?,0.5,0.36,0.32,0.25,0.2
#NAME?,6.81,5.49,6.13,6.73,5.59
#NAME?,1.57,1.21,1.45,1.46,1.09
All sexual offences,0.7,0.69,0.48,0.78,0.74
#NAME?,0.15,0.21,0.14,0.18,0.19
#NAME?,0.24,0.2,0.19,0.32,0.21
#NAME?,0.12,0.09,0.03,0.11,0.16
#NAME?,0.18,0.18,0.11,0.17,0.17
All robbery and extortion offences,0.6,0.43,0.39,0.55,0.51
#NAME?,0.32,0.22,0.22,0.13,0.27
#NAME?,0.24,0.18,0.15,0.33,0.16
#NAME?,0.03,0.02,0.01,0.09,0.07
All offences against property,60,55.19,49.1,47.61,44.46
#NAME?,7.24,7.58,6.73,6.86,6.39
#NAME?,1.89,1.38,1.73,1.24,1.2
#NAME?,0.88,0.66,0.46,0.6,0.81
#NAME?,3.52,2.33,2.66,1.97,1.79
#NAME?,17.13,17.01,14.51,16.04,14.09
#NAME?,4.43,4.05,3.76,4.02,4.66
#NAME?,6.34,5.19,5.64,5.48,4.87
#NAME?,1.63,1.28,1.14,0.83,1.01
#NAME?,16.93,15.71,12.47,10.57,9.63
All offences against good order,15.69,13.99,12.89,13.88,11.82
All drug offences,1.91,2.43,2.45,2.22,2.67
#NAME?,0.13,0.14,0.15,0.13,0.18
#NAME?,0.53,0.48,0.37,0.38,0.39
#NAME?,0.92,0.8,0.86,0.69,0.9
#NAME?,0.22,0.85,0.88,0.8,1.03
#NAME?,0.1,0.16,0.19,0.21,0.17
All driving offences,18.55,11.91,8.27,8.35,6.7
#NAME?,3.05,2.9,2.47,2.96,2.23
#NAME?,1.23,0.91,0.91,1.09,0.89
#NAME?,3.32,2.83,2.27,2.2,2.1
#NAME?,1.34,1.07,0.77,0.61,0.48
#NAME?,8.88,3.62,1.21,1.05,0.81
#NAME?,0.73,0.58,0.64,0.45,0.19
All other offences,0.45,0.23,0.38,0.28,0.31
Total offences,106.78,91.95,81.86,82.15,74.12
