,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",3.61,3.68,4.21,3.73,3.39
- Homicide,0.00,0.05,0.00,0.05,0.13
- Major assault,0.23,0.38,0.15,0.15,0.13
- Minor assault,2.82,2.74,3.38,3.05,2.56
- Other against person,0.56,0.51,0.68,0.48,0.58
All sexual offences,0.76,0.66,0.48,0.63,0.45
- Rape,0.25,0.18,0.18,0.20,0.20
- Indecent assault,0.28,0.28,0.20,0.28,0.08
- Unlawful sexual intercourse,0.13,0.08,0.08,0.03,0.08
- Other sexual offences,0.10,0.13,0.03,0.13,0.10
All robbery and extortion offences,0.03,0.05,0.08,0.03,0.05
- Armed robbery,0.00,0.05,0.08,0.00,0.05
- Unarmed robbery,0.03,0.00,0.00,0.03,0.00
- Extortion,0.00,0.00,0.00,0.00,0.00
All offences against property,27.51,29.35,23.44,26.25,20.73
- Serious criminal trespass/break and enter,4.71,5.23,4.36,5.47,4.10
- Fraud and misappropriation,1.07,0.68,0.71,0.88,0.43
- Receiving & illegal possession of stolen goods,0.05,0.23,0.20,0.25,0.18
- Larceny/illegal use of motor vehicle,0.69,1.04,1.03,0.58,0.63
- Other larceny,10.61,11.26,8.70,9.62,8.02
- Larceny from shops,0.97,1.12,0.50,0.55,0.80
- Larceny from a motor vehicle,2.06,2.31,1.46,2.87,1.63
- Arson/explosives,0.84,0.79,0.73,0.65,0.58
- Property damage and environmental offences,6.51,6.70,5.73,5.37,4.37
All offences against good order,7.48,6.34,6.94,7.18,7.29
All drug offences,0.51,0.58,1.31,1.26,0.65
- Possess/use,0.03,0.05,0.03,0.05,0.00
- Sell/trade,0.08,0.23,0.50,0.25,0.20
- Produce/manufacture,0.31,0.20,0.43,0.60,0.28
- Possess implement for drug use,0.05,0.08,0.30,0.35,0.15
- Other drug offences,0.05,0.03,0.05,0.00,0.03
All driving offences,14.30,9.16,6.31,7.05,6.28
- Driving alc/drugs,3.31,3.17,2.55,3.50,3.02
- Dangerous driving,1.42,1.12,0.86,0.83,0.93
- Driving licence,2.09,1.29,1.31,1.34,1.16
- Traffic offences,1.04,0.89,0.53,0.88,0.53
- MV registration,6.13,2.41,0.63,0.23,0.55
- Other MV,0.31,0.28,0.43,0.28,0.10
All other offences,0.25,0.18,0.23,0.25,0.20
Total offences,54.45,49.99,42.99,46.37,39.05
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
