,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",6.72,5.18,5.69,5.44,6.11
- Homicide,0.02,0.02,0.04,0.10,0.00
- Major assault,0.31,0.37,0.26,0.22,0.26
- Minor assault,5.21,4.12,4.62,4.32,4.72
- Other against person,1.18,0.67,0.77,0.80,1.13
All sexual offences,1.18,0.59,1.03,0.82,0.85
- Rape,0.33,0.31,0.28,0.34,0.20
- Indecent assault,0.45,0.14,0.30,0.22,0.38
- Unlawful sexual intercourse,0.19,0.06,0.14,0.14,0.12
- Other sexual offences,0.21,0.08,0.30,0.12,0.16
All robbery and extortion offences,0.39,0.39,0.52,0.46,0.40
- Armed robbery,0.23,0.14,0.26,0.20,0.22
- Unarmed robbery,0.14,0.22,0.24,0.26,0.14
- Extortion,0.02,0.02,0.02,0.00,0.04
All offences against property,50.81,40.76,36.95,36.37,34.83
- Serious criminal trespass/break and enter,8.02,5.38,6.46,7.05,5.66
- Fraud and misappropriation,0.93,0.86,1.05,0.66,1.03
- Receiving & illegal possession of stolen goods,0.37,0.45,0.40,0.62,0.44
- Larceny/illegal use of motor vehicle,2.94,1.65,1.66,1.37,1.81
- Other larceny,13.37,13.59,11.81,11.95,12.46
- Larceny from shops,1.76,1.22,1.76,1.99,1.75
- Larceny from a motor vehicle,6.86,4.65,3.19,4.76,4.62
- Arson/explosives,1.22,0.61,0.61,0.52,0.36
- Property damage and environmental offences,15.34,12.35,10.01,7.45,6.71
All offences against good order,10.83,11.86,10.62,9.30,9.84
All drug offences,1.07,1.69,2.40,2.41,2.80
- Possess/use,0.08,0.16,0.32,0.20,0.26
- Sell/trade,0.37,0.37,0.38,0.56,0.54
- Produce/manufacture,0.41,0.51,0.44,0.56,0.71
- Possess implement for drug use,0.08,0.55,0.65,0.62,0.87
- Other drug offences,0.12,0.10,0.61,0.46,0.42
All driving offences,17.36,10.78,8.72,6.67,7.16
- Driving alc/drugs,2.36,2.28,2.00,2.37,2.82
- Dangerous driving,1.10,0.88,1.05,0.70,0.56
- Driving licence,3.16,2.71,2.89,1.95,2.62
- Traffic offences,1.28,1.20,1.41,0.54,0.46
- MV registration,9.05,3.34,1.07,0.96,0.65
- Other MV,0.41,0.37,0.30,0.14,0.06
All other offences,0.10,0.24,0.22,0.16,0.02
Total offences,88.47,71.49,66.16,61.64,62.01
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
