,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",12.15,9.69,9.15,10.15,10.13
- Homicide,0.08,0.10,0.04,0.02,0.03
- Major assault,0.78,0.67,0.72,0.65,0.54
- Minor assault,9.59,7.65,7.10,8.06,8.42
- Other against person,1.70,1.27,1.30,1.42,1.15
All sexual offences,1.12,1.04,0.93,1.29,1.34
- Rape,0.41,0.35,0.32,0.42,0.30
- Indecent assault,0.35,0.27,0.33,0.36,0.31
- Unlawful sexual intercourse,0.13,0.18,0.10,0.16,0.14
- Other sexual offences,0.22,0.24,0.19,0.35,0.59
All robbery and extortion offences,0.96,1.02,0.89,0.93,0.78
- Armed robbery,0.40,0.48,0.37,0.48,0.32
- Unarmed robbery,0.51,0.49,0.51,0.42,0.40
- Extortion,0.06,0.05,0.01,0.03,0.06
All offences against property,94.12,87.92,79.19,82.53,70.24
- Serious criminal trespass/break and enter,14.17,14.55,13.12,13.78,11.62
- Fraud and misappropriation,2.40,2.63,2.97,2.00,1.99
- Receiving & illegal possession of stolen goods,1.60,1.06,1.69,1.23,1.36
- Larceny/illegal use of motor vehicle,6.19,5.19,4.71,4.82,3.48
- Other larceny,28.49,26.96,25.40,27.93,22.99
- Larceny from shops,5.93,5.93,6.34,6.61,5.46
- Larceny from a motor vehicle,13.98,12.43,8.36,9.81,8.83
- Arson/explosives,1.99,1.62,1.43,1.58,1.59
- Property damage and environmental offences,19.36,17.54,15.16,14.77,12.91
All offences against good order,19.99,17.92,20.01,20.91,22.75
All drug offences,2.53,2.99,3.67,3.63,4.20
- Possess/use,0.34,0.26,0.16,0.22,0.35
- Sell/trade,1.10,0.78,0.87,1.22,1.30
- Produce/manufacture,0.71,0.95,1.18,0.83,0.91
- Possess implement for drug use,0.20,0.81,1.12,1.00,1.15
- Other drug offences,0.18,0.19,0.33,0.35,0.50
All driving offences,36.41,20.28,14.96,14.75,14.83
- Driving alc/drugs,4.95,4.56,3.78,4.18,4.26
- Dangerous driving,1.95,1.85,1.47,1.53,1.86
- Driving licence,7.20,5.34,5.06,4.37,4.35
- Traffic offences,2.44,1.80,1.62,1.46,1.66
- MV registration,19.19,6.24,2.60,2.73,2.46
- Other MV,0.68,0.49,0.44,0.48,0.26
All other offences,0.67,0.62,1.25,0.49,0.52
Total offences,167.94,141.48,130.06,134.67,124.79
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
