,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",9.20,8.63,7.85,9.38,7.30
- Homicide,0.01,0.00,0.07,0.09,0.03
- Major assault,0.69,0.50,0.47,0.54,0.40
- Minor assault,7.50,7.13,6.18,7.27,5.83
- Other against person,0.99,1.00,1.13,1.48,1.03
All sexual offences,1.48,1.25,1.13,0.98,1.03
- Rape,0.38,0.31,0.34,0.26,0.25
- Indecent assault,0.55,0.52,0.34,0.36,0.27
- Unlawful sexual intercourse,0.23,0.17,0.23,0.07,0.20
- Other sexual offences,0.33,0.25,0.21,0.29,0.31
All robbery and extortion offences,0.64,0.63,0.66,0.61,0.51
- Armed robbery,0.22,0.31,0.34,0.33,0.22
- Unarmed robbery,0.36,0.27,0.31,0.27,0.27
- Extortion,0.06,0.05,0.01,0.01,0.02
All offences against property,79.69,68.71,64.82,65.77,64.67
- Serious criminal trespass/break and enter,12.02,12.75,11.53,12.36,13.15
- Fraud and misappropriation,2.25,1.60,2.22,1.63,1.91
- Receiving & illegal possession of stolen goods,1.10,1.17,0.92,0.71,0.88
- Larceny/illegal use of motor vehicle,3.45,2.31,2.39,2.51,2.86
- Other larceny,25.48,20.87,21.07,21.26,19.18
- Larceny from shops,7.06,6.55,5.72,6.01,7.28
- Larceny from a motor vehicle,9.96,6.89,6.22,7.18,7.15
- Arson/explosives,1.41,0.99,1.16,1.61,1.25
- Property damage and environmental offences,16.95,15.59,13.61,12.51,11.02
All offences against good order,22.84,20.09,18.58,19.86,19.90
All drug offences,1.55,1.86,2.11,2.32,1.89
- Possess/use,0.22,0.21,0.21,0.37,0.25
- Sell/trade,0.40,0.45,0.51,0.44,0.47
- Produce/manufacture,0.51,0.46,0.59,0.57,0.46
- Possess implement for drug use,0.23,0.54,0.58,0.65,0.51
- Other drug offences,0.19,0.19,0.23,0.28,0.20
All driving offences,22.85,15.40,11.81,10.85,8.96
- Driving alc/drugs,3.73,4.15,4.25,4.54,3.32
- Dangerous driving,1.11,1.13,0.89,0.85,0.89
- Driving licence,4.69,4.23,3.80,2.92,2.77
- Traffic offences,1.44,1.18,1.17,0.84,0.80
- MV registration,11.38,4.30,1.42,1.51,1.03
- Other MV,0.50,0.41,0.27,0.20,0.16
All other offences,0.57,0.44,0.33,0.35,0.27
Total offences,138.81,117.01,107.28,110.11,104.52
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
