,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",4.51,4.17,4.36,4.18,4.07
- Homicide,0.00,0.00,0.02,0.00,0.03
- Major assault,0.26,0.22,0.22,0.22,0.21
- Minor assault,3.52,3.29,3.53,3.17,3.06
- Other against person,0.73,0.66,0.60,0.80,0.77
All sexual offences,0.47,0.63,0.69,0.63,0.58
- Rape,0.11,0.19,0.11,0.17,0.17
- Indecent assault,0.12,0.26,0.31,0.28,0.26
- Unlawful sexual intercourse,0.05,0.03,0.12,0.06,0.05
- Other sexual offences,0.19,0.15,0.15,0.12,0.11
All robbery and extortion offences,0.28,0.28,0.39,0.49,0.31
- Armed robbery,0.11,0.11,0.22,0.25,0.17
- Unarmed robbery,0.16,0.17,0.15,0.22,0.14
- Extortion,0.02,0.00,0.02,0.03,0.00
All offences against property,55.14,44.95,43.55,45.29,37.69
- Serious criminal trespass/break and enter,7.80,5.86,6.50,6.74,7.56
- Fraud and misappropriation,1.18,0.96,1.13,1.11,0.99
- Receiving & illegal possession of stolen goods,0.19,0.15,0.22,0.15,0.34
- Larceny/illegal use of motor vehicle,1.60,1.35,1.03,1.54,1.58
- Other larceny,20.20,16.37,16.25,16.43,14.13
- Larceny from shops,1.87,1.25,1.31,1.68,1.50
- Larceny from a motor vehicle,7.63,6.12,4.75,6.52,5.02
- Arson/explosives,1.06,1.16,1.11,1.32,0.51
- Property damage and environmental offences,13.62,11.72,11.25,9.80,6.06
All offences against good order,11.45,10.81,10.51,9.66,8.59
All drug offences,0.48,0.76,0.83,1.03,1.42
- Possess/use,0.05,0.05,0.03,0.08,0.11
- Sell/trade,0.12,0.14,0.15,0.35,0.44
- Produce/manufacture,0.17,0.20,0.25,0.14,0.28
- Possess implement for drug use,0.03,0.23,0.31,0.22,0.43
- Other drug offences,0.11,0.14,0.09,0.25,0.17
All driving offences,14.30,8.57,6.49,6.86,5.89
- Driving alc/drugs,2.57,2.75,2.88,2.92,2.37
- Dangerous driving,0.93,0.80,0.65,0.83,0.84
- Driving licence,2.19,1.70,1.23,1.37,1.39
- Traffic offences,0.93,0.82,0.59,0.78,0.57
- MV registration,7.30,2.26,0.74,0.68,0.54
- Other MV,0.37,0.23,0.40,0.28,0.18
All other offences,0.36,0.23,0.15,0.34,0.12
Total offences,87.00,70.39,66.97,68.49,58.67
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
