,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",8.29,7.25,7.32,7.61,6.78
- Homicide,0.11,0.03,0.08,0.00,0.00
- Major assault,0.56,0.61,0.25,0.28,0.44
- Minor assault,6.43,5.24,5.75,5.92,5.06
- Other against person,1.18,1.37,1.24,1.41,1.28
All sexual offences,1.40,1.20,0.80,0.69,0.96
- Rape,0.25,0.33,0.17,0.14,0.14
- Indecent assault,0.17,0.22,0.25,0.17,0.25
- Unlawful sexual intercourse,0.06,0.11,0.03,0.03,0.08
- Other sexual offences,0.93,0.53,0.36,0.36,0.49
All robbery and extortion offences,0.87,0.59,0.64,0.85,0.68
- Armed robbery,0.51,0.39,0.22,0.44,0.38
- Unarmed robbery,0.37,0.14,0.30,0.36,0.30
- Extortion,0.00,0.06,0.11,0.06,0.00
All offences against property,83.33,71.04,65.49,62.08,54.52
- Serious criminal trespass/break and enter,15.06,10.46,12.08,10.91,9.40
- Fraud and misappropriation,2.33,2.23,2.02,2.12,2.27
- Receiving & illegal possession of stolen goods,0.90,0.72,0.91,0.69,0.93
- Larceny/illegal use of motor vehicle,3.76,3.79,2.40,2.40,2.02
- Other larceny,25.82,24.23,23.40,21.22,19.02
- Larceny from shops,4.80,3.68,4.28,4.19,3.88
- Larceny from a motor vehicle,10.84,8.70,8.32,9.59,6.23
- Arson/explosives,0.73,1.14,0.83,0.58,1.12
- Property damage and environmental offences,19.08,16.09,11.25,10.39,9.65
All offences against good order,15.40,12.74,14.04,12.34,13.85
All drug offences,1.55,2.01,2.43,1.87,2.90
- Possess/use,0.11,0.22,0.30,0.25,0.30
- Sell/trade,0.34,0.33,0.61,0.28,0.49
- Produce/manufacture,0.34,0.53,0.53,0.33,0.36
- Possess implement for drug use,0.11,0.59,0.41,0.52,0.87
- Other drug offences,0.65,0.33,0.58,0.50,0.87
All driving offences,42.82,24.03,15.00,15.10,18.06
- Driving alc/drugs,7.70,6.86,5.39,5.24,6.89
- Dangerous driving,1.88,1.34,1.33,1.07,1.80
- Driving licence,7.08,4.77,3.87,3.83,5.06
- Traffic offences,3.15,2.12,2.27,2.34,2.21
- MV registration,22.62,8.50,1.77,2.29,1.83
- Other MV,0.39,0.45,0.39,0.33,0.27
All other offences,0.67,0.42,0.75,0.36,0.77
Total offences,154.32,119.27,106.47,100.91,98.51
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
