,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",10.37,10.48,9.67,10.04,10.02
- Homicide,0.03,0.08,0.02,0.02,0.02
- Major assault,0.84,0.62,0.56,0.39,0.48
- Minor assault,8.65,8.92,7.92,8.59,8.40
- Other against person,0.85,0.87,1.16,1.03,1.12
All sexual offences,1.55,1.09,1.00,1.16,1.13
- Rape,0.38,0.29,0.30,0.31,0.41
- Indecent assault,0.35,0.34,0.28,0.37,0.33
- Unlawful sexual intercourse,0.38,0.19,0.18,0.20,0.15
- Other sexual offences,0.43,0.26,0.24,0.28,0.25
All robbery and extortion offences,0.50,0.55,0.50,0.45,0.47
- Armed robbery,0.18,0.24,0.26,0.24,0.25
- Unarmed robbery,0.29,0.27,0.22,0.18,0.18
- Extortion,0.03,0.04,0.02,0.02,0.04
All offences against property,62.32,55.37,56.88,59.13,59.44
- Serious criminal trespass/break and enter,8.32,7.55,8.09,8.17,9.72
- Fraud and misappropriation,1.39,1.12,1.73,1.35,1.32
- Receiving & illegal possession of stolen goods,0.60,0.60,0.61,0.68,0.82
- Larceny/illegal use of motor vehicle,2.87,1.77,2.05,2.31,2.72
- Other larceny,19.56,17.17,17.45,19.89,19.22
- Larceny from shops,2.99,3.15,3.96,4.01,4.41
- Larceny from a motor vehicle,5.88,4.97,6.16,6.73,6.23
- Arson/explosives,1.60,1.32,1.31,1.54,1.80
- Property damage and environmental offences,19.11,17.72,15.52,14.45,13.19
All offences against good order,27.54,24.20,22.46,22.14,24.09
All drug offences,2.09,2.62,2.49,3.05,3.17
- Possess/use,0.22,0.26,0.17,0.28,0.34
- Sell/trade,0.47,0.21,0.34,0.45,0.46
- Produce/manufacture,0.94,0.90,0.89,0.91,0.81
- Possess implement for drug use,0.26,0.88,0.82,0.97,0.93
- Other drug offences,0.21,0.37,0.27,0.45,0.62
All driving offences,31.84,18.52,12.32,11.89,12.32
- Driving alc/drugs,5.69,5.05,4.11,4.09,4.24
- Dangerous driving,1.58,1.41,1.05,1.19,1.25
- Driving licence,6.67,4.46,3.17,3.25,3.63
- Traffic offences,2.16,1.90,1.55,1.19,1.07
- MV registration,14.86,5.03,1.88,1.74,1.87
- Other MV,0.87,0.67,0.57,0.42,0.26
All other offences,0.39,0.95,0.61,0.43,0.36
Total offences,136.61,113.76,105.93,108.28,111.00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
