,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",16.69,15.32,15.18,15.47,13.91
- Homicide,0.12,0.08,0.03,0.06,0.08
- Major assault,1.23,1.04,0.92,0.67,0.72
- Minor assault,12.75,12.13,12.05,12.56,11.20
- Other against person,2.61,2.07,2.17,2.18,1.92
All sexual offences,1.49,1.79,1.32,1.38,1.59
- Rape,0.61,0.69,0.52,0.53,0.52
- Indecent assault,0.43,0.50,0.36,0.44,0.57
- Unlawful sexual intercourse,0.19,0.16,0.12,0.10,0.13
- Other sexual offences,0.26,0.44,0.31,0.31,0.36
All robbery and extortion offences,1.51,1.31,1.12,1.04,1.07
- Armed robbery,0.68,0.54,0.50,0.57,0.68
- Unarmed robbery,0.75,0.73,0.58,0.43,0.38
- Extortion,0.07,0.04,0.04,0.04,0.02
All offences against property,107.97,101.93,89.07,89.86,86.20
- Serious criminal trespass/break and enter,16.62,17.68,15.45,14.95,14.82
- Fraud and misappropriation,2.20,2.16,2.17,2.03,1.99
- Receiving & illegal possession of stolen goods,1.76,1.83,1.87,2.06,1.82
- Larceny/illegal use of motor vehicle,6.73,6.29,5.69,5.71,5.16
- Other larceny,35.06,34.95,31.08,30.51,29.05
- Larceny from shops,4.17,4.41,3.95,4.27,4.17
- Larceny from a motor vehicle,13.59,11.17,8.85,9.36,11.13
- Arson/explosives,3.25,2.48,2.09,1.96,1.96
- Property damage and environmental offences,24.60,20.98,17.92,19.01,16.09
All offences against good order,35.87,33.26,31.60,30.95,34.45
All drug offences,3.47,3.84,4.56,4.37,4.84
- Possess/use,0.65,0.69,0.50,0.68,0.62
- Sell/trade,1.27,0.66,1.21,1.19,1.43
- Produce/manufacture,0.96,0.93,1.05,0.92,0.88
- Possess implement for drug use,0.28,1.21,1.22,1.08,1.28
- Other drug offences,0.30,0.36,0.59,0.50,0.63
All driving offences,52.23,35.44,25.07,22.95,19.40
- Driving alc/drugs,6.98,7.03,6.10,6.26,5.59
- Dangerous driving,2.57,2.61,1.98,1.99,1.77
- Driving licence,12.07,10.38,8.82,7.42,6.73
- Traffic offences,3.73,3.40,2.88,2.44,1.64
- MV registration,25.93,11.01,4.35,4.09,3.23
- Other MV,0.94,1.01,0.93,0.76,0.46
All other offences,0.89,0.69,1.25,0.76,0.87
Total offences,220.11,193.58,169.16,166.78,162.33
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
