,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",7.43,7.85,6.37,8.02,8.08
- Homicide,0.00,0.00,0.05,0.00,0.05
- Major assault,0.39,0.24,0.19,0.39,0.57
- Minor assault,6.02,6.25,4.92,6.28,5.88
- Other against person,1.03,1.36,1.21,1.35,1.58
All sexual offences,0.68,0.82,0.97,0.97,1.05
- Rape,0.24,0.24,0.19,0.39,0.29
- Indecent assault,0.20,0.29,0.34,0.19,0.43
- Unlawful sexual intercourse,0.10,0.05,0.10,0.00,0.10
- Other sexual offences,0.15,0.24,0.34,0.39,0.24
All robbery and extortion offences,1.17,1.70,0.77,0.77,0.62
- Armed robbery,0.73,0.82,0.24,0.29,0.33
- Unarmed robbery,0.34,0.78,0.53,0.48,0.24
- Extortion,0.10,0.10,0.00,0.00,0.05
All offences against property,91.60,90.05,75.76,68.49,75.15
- Serious criminal trespass/break and enter,20.05,18.85,14.86,12.71,18.18
- Fraud and misappropriation,2.15,2.28,1.98,1.88,1.87
- Receiving & illegal possession of stolen goods,1.37,1.74,1.06,1.50,1.29
- Larceny/illegal use of motor vehicle,6.11,5.19,4.54,4.30,4.02
- Other larceny,31.10,30.63,25.48,22.86,25.40
- Larceny from shops,3.23,4.60,4.34,4.30,5.36
- Larceny from a motor vehicle,12.57,11.24,10.04,9.18,8.66
- Arson/explosives,1.76,1.31,0.82,0.72,0.72
- Property damage and environmental offences,13.25,14.20,12.64,11.02,9.66
All offences against good order,13.30,14.88,18.87,15.18,14.16
All drug offences,1.52,3.34,1.64,3.58,3.21
- Possess/use,0.15,0.15,0.24,0.29,0.62
- Sell/trade,0.64,1.02,0.43,1.26,0.72
- Produce/manufacture,0.44,0.92,0.29,0.63,0.24
- Possess implement for drug use,0.10,0.58,0.53,0.87,0.81
- Other drug offences,0.20,0.68,0.14,0.53,0.81
All driving offences,31.10,22.44,14.04,14.74,10.86
- Driving alc/drugs,4.79,5.86,5.60,5.22,3.78
- Dangerous driving,2.15,1.79,0.97,1.26,1.58
- Driving licence,6.50,5.33,4.49,5.36,3.35
- Traffic offences,1.03,2.04,1.25,0.97,0.72
- MV registration,16.29,6.98,1.54,1.74,1.29
- Other MV,0.34,0.44,0.19,0.19,0.14
All other offences,0.78,1.02,0.72,0.87,0.72
Total offences,147.60,142.10,119.15,112.61,113.85
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
