,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",13.92,13.81,13.39,13.79,12.11
- Homicide,0.10,0.03,0.05,0.08,0.01
- Major assault,0.92,0.78,0.59,0.61,0.42
- Minor assault,11.23,11.04,11.08,10.94,9.84
- Other against person,1.68,1.95,1.68,2.16,1.83
All sexual offences,1.45,1.13,1.25,0.99,1.05
- Rape,0.40,0.31,0.40,0.28,0.33
- Indecent assault,0.63,0.40,0.40,0.31,0.39
- Unlawful sexual intercourse,0.21,0.13,0.16,0.11,0.13
- Other sexual offences,0.22,0.29,0.29,0.30,0.20
All robbery and extortion offences,1.47,1.15,1.40,1.02,1.21
- Armed robbery,0.85,0.58,0.66,0.57,0.76
- Unarmed robbery,0.58,0.54,0.73,0.44,0.42
- Extortion,0.05,0.03,0.02,0.01,0.04
All offences against property,85.77,86.13,78.15,73.56,72.39
- Serious criminal trespass/break and enter,13.68,14.87,11.68,11.96,11.10
- Fraud and misappropriation,1.27,1.96,2.34,1.51,1.67
- Receiving & illegal possession of stolen goods,1.26,1.54,1.50,1.22,1.09
- Larceny/illegal use of motor vehicle,6.73,5.67,4.92,4.82,5.01
- Other larceny,21.64,25.00,22.43,24.16,24.17
- Larceny from shops,4.36,4.25,5.02,4.70,5.20
- Larceny from a motor vehicle,10.23,9.42,10.20,7.67,8.73
- Arson/explosives,2.13,2.42,2.46,1.75,1.82
- Property damage and environmental offences,24.47,21.00,17.60,15.78,13.60
All offences against good order,24.34,24.78,25.83,23.12,20.07
All drug offences,3.14,5.08,6.61,4.66,4.29
- Possess/use,0.26,0.41,0.52,0.54,0.46
- Sell/trade,1.07,1.33,1.39,1.03,0.86
- Produce/manufacture,1.35,1.39,2.03,1.20,1.06
- Possess implement for drug use,0.28,1.60,2.17,1.52,1.43
- Other drug offences,0.18,0.34,0.51,0.36,0.48
All driving offences,32.63,24.41,19.49,16.53,13.34
- Driving alc/drugs,4.25,4.97,4.43,4.51,3.34
- Dangerous driving,1.88,1.75,1.55,1.60,1.75
- Driving licence,7.42,7.04,6.82,5.22,4.18
- Traffic offences,2.38,2.30,2.03,1.90,1.38
- MV registration,15.73,7.48,3.68,2.53,2.03
- Other MV,0.96,0.87,0.98,0.78,0.68
All other offences,0.62,0.57,0.78,0.66,0.61
Total offences,163.33,157.05,146.90,134.33,125.08
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
