,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",8.88,7.08,7.91,8.47,6.90
- Homicide,0.00,0.01,0.00,0.02,0.01
- Major assault,0.50,0.36,0.32,0.25,0.20
- Minor assault,6.81,5.49,6.13,6.73,5.59
- Other against person,1.57,1.21,1.45,1.46,1.09
All sexual offences,0.70,0.69,0.48,0.78,0.74
- Rape,0.15,0.21,0.14,0.18,0.19
- Indecent assault,0.24,0.20,0.19,0.32,0.21
- Unlawful sexual intercourse,0.12,0.09,0.03,0.11,0.16
- Other sexual offences,0.18,0.18,0.11,0.17,0.17
All robbery and extortion offences,0.60,0.43,0.39,0.55,0.51
- Armed robbery,0.32,0.22,0.22,0.13,0.27
- Unarmed robbery,0.24,0.18,0.15,0.33,0.16
- Extortion,0.03,0.02,0.01,0.09,0.07
All offences against property,60.00,55.19,49.10,47.61,44.46
- Serious criminal trespass/break and enter,7.24,7.58,6.73,6.86,6.39
- Fraud and misappropriation,1.89,1.38,1.73,1.24,1.20
- Receiving & illegal possession of stolen goods,0.88,0.66,0.46,0.60,0.81
- Larceny/illegal use of motor vehicle,3.52,2.33,2.66,1.97,1.79
- Other larceny,17.13,17.01,14.51,16.04,14.09
- Larceny from shops,4.43,4.05,3.76,4.02,4.66
- Larceny from a motor vehicle,6.34,5.19,5.64,5.48,4.87
- Arson/explosives,1.63,1.28,1.14,0.83,1.01
- Property damage and environmental offences,16.93,15.71,12.47,10.57,9.63
All offences against good order,15.69,13.99,12.89,13.88,11.82
All drug offences,1.91,2.43,2.45,2.22,2.67
- Possess/use,0.13,0.14,0.15,0.13,0.18
- Sell/trade,0.53,0.48,0.37,0.38,0.39
- Produce/manufacture,0.92,0.80,0.86,0.69,0.90
- Possess implement for drug use,0.22,0.85,0.88,0.80,1.03
- Other drug offences,0.10,0.16,0.19,0.21,0.17
All driving offences,18.55,11.91,8.27,8.35,6.70
- Driving alc/drugs,3.05,2.90,2.47,2.96,2.23
- Dangerous driving,1.23,0.91,0.91,1.09,0.89
- Driving licence,3.32,2.83,2.27,2.20,2.10
- Traffic offences,1.34,1.07,0.77,0.61,0.48
- MV registration,8.88,3.62,1.21,1.05,0.81
- Other MV,0.73,0.58,0.64,0.45,0.19
All other offences,0.45,0.23,0.38,0.28,0.31
Total offences,106.78,91.95,81.86,82.15,74.12
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
