,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",6.00,5.48,4.98,4.46,4.95
- Homicide,0.03,0.00,0.05,0.03,0.00
- Major assault,0.21,0.39,0.23,0.05,0.16
- Minor assault,4.60,4.07,3.76,3.57,4.04
- Other against person,1.16,1.02,0.94,0.81,0.75
All sexual offences,0.69,0.84,1.04,0.50,0.88
- Rape,0.26,0.24,0.42,0.18,0.28
- Indecent assault,0.21,0.29,0.23,0.18,0.34
- Unlawful sexual intercourse,0.05,0.05,0.05,0.03,0.03
- Other sexual offences,0.16,0.26,0.34,0.10,0.23
All robbery and extortion offences,0.63,0.47,0.29,0.63,0.23
- Armed robbery,0.40,0.29,0.16,0.42,0.05
- Unarmed robbery,0.24,0.13,0.13,0.18,0.16
- Extortion,0.00,0.05,0.00,0.03,0.03
All offences against property,64.17,65.99,58.96,59.94,43.84
- Serious criminal trespass/break and enter,11.90,11.70,12.78,9.49,9.35
- Fraud and misappropriation,1.37,1.78,1.75,1.56,0.75
- Receiving & illegal possession of stolen goods,0.24,0.26,0.42,0.42,0.31
- Larceny/illegal use of motor vehicle,3.20,2.55,1.62,2.01,2.15
- Other larceny,24.67,26.47,25.10,27.67,15.46
- Larceny from shops,2.88,2.31,1.88,2.61,2.43
- Larceny from a motor vehicle,8.09,8.76,6.24,8.34,5.13
- Arson/explosives,1.00,0.79,0.60,0.65,0.88
- Property damage and environmental offences,10.81,11.36,8.58,7.19,7.38
All offences against good order,9.33,9.81,8.77,7.95,8.49
All drug offences,0.98,0.73,0.97,0.68,1.06
- Possess/use,0.26,0.08,0.08,0.08,0.13
- Sell/trade,0.21,0.21,0.21,0.18,0.31
- Produce/manufacture,0.21,0.24,0.29,0.13,0.18
- Possess implement for drug use,0.00,0.13,0.29,0.10,0.31
- Other drug offences,0.29,0.08,0.10,0.18,0.13
All driving offences,12.59,6.64,4.80,6.28,7.38
- Driving alc/drugs,2.83,2.49,2.40,3.02,3.75
- Dangerous driving,0.87,0.68,0.68,1.09,0.73
- Driving licence,2.06,1.29,0.63,1.12,1.71
- Traffic offences,0.79,0.71,0.47,0.50,0.62
- MV registration,5.87,1.44,0.63,0.50,0.52
- Other MV,0.16,0.03,0.00,0.05,0.05
All other offences,0.21,0.18,0.21,0.08,0.08
Total offences,94.60,90.15,80.01,80.50,66.91
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
