,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",6.92,8.40,5.90,4.52,5.01
- Homicide,0.00,0.14,0.00,0.00,0.00
- Major assault,0.83,0.55,0.14,0.14,0.41
- Minor assault,4.85,6.75,4.80,4.38,4.33
- Other against person,1.25,0.96,0.96,0.00,0.27
All sexual offences,2.35,1.52,1.37,0.55,0.81
- Rape,0.69,0.41,0.69,0.27,0.41
- Indecent assault,0.28,0.28,0.14,0.14,0.00
- Unlawful sexual intercourse,0.97,0.41,0.00,0.00,0.14
- Other sexual offences,0.42,0.41,0.55,0.14,0.27
All robbery and extortion offences,0.55,1.38,0.55,0.41,0.00
- Armed robbery,0.55,0.41,0.41,0.41,0.00
- Unarmed robbery,0.00,0.96,0.14,0.00,0.00
- Extortion,0.00,0.00,0.00,0.00,0.00
All offences against property,73.79,68.60,72.02,69.79,50.32
- Serious criminal trespass/break and enter,19.66,19.01,23.32,22.30,13.93
- Fraud and misappropriation,0.69,0.55,1.37,0.82,0.54
- Receiving & illegal possession of stolen goods,0.14,0.55,0.69,0.27,0.41
- Larceny/illegal use of motor vehicle,3.05,2.76,2.33,2.05,2.44
- Other larceny,20.07,20.11,24.28,22.44,18.13
- Larceny from shops,1.80,2.76,2.06,1.78,0.68
- Larceny from a motor vehicle,11.63,9.23,8.37,11.36,7.44
- Arson/explosives,2.08,0.69,0.69,0.41,0.54
- Property damage and environmental offences,14.68,12.95,8.92,8.35,6.22
All offences against good order,9.28,12.67,12.76,9.17,10.15
All drug offences,0.28,0.69,0.00,2.87,1.08
- Possess/use,0.00,0.00,0.00,0.27,0.27
- Sell/trade,0.14,0.14,0.00,0.00,0.00
- Produce/manufacture,0.14,0.14,0.00,0.55,0.14
- Possess implement for drug use,0.00,0.28,0.00,1.23,0.41
- Other drug offences,0.00,0.14,0.00,0.82,0.27
All driving offences,27.14,16.81,6.72,10.95,8.52
- Driving alc/drugs,3.46,4.41,2.88,4.11,2.44
- Dangerous driving,1.25,1.52,1.10,1.92,2.03
- Driving licence,2.49,3.17,1.92,2.33,2.30
- Traffic offences,1.11,1.79,0.55,1.64,0.41
- MV registration,18.41,5.92,0.00,0.96,0.27
- Other MV,0.42,0.00,0.27,0.00,1.08
All other offences,0.28,0.00,0.82,0.00,0.14
Total offences,120.59,110.07,100.14,98.25,76.03
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
